更新时间: 2025-12-23 11:46:34（北京时间）

更新时间,#genre#
2025-12-23 11:46:34,https://gitee.com/goldenwuhan/tv/raw/master/3D.mp4

央视频道,#genre#
CCTV15,http://113.25.107.189:10000/rtp/239.1.1.22:8022$山西电信
CCTV16,http://61.159.134.134:18000/rtp/238.255.2.217:5999$贵州电信
CCTV16,http://121.56.186.21:4022/rtp/239.29.1.146:5000$内蒙古电信
CCTV16,http://121.56.186.21:4022/rtp/239.29.1.149:5000$内蒙古电信
CCTV16,http://123.155.19.237:8888/rtp/233.50.201.192:5140$浙江电信
CCTV16,http://116.233.63.135:5555/udp/239.45.0.10:5140$上海市电信
CCTV16,http://116.233.63.135:5555/udp/233.18.204.114:5140$上海市电信
CCTV16,http://116.233.63.135:5555/udp/233.18.204.215:5140$上海市电信
CCTV16,http://116.233.63.135:5555/udp/239.45.0.12:5140$上海市电信
CCTV16,http://117.88.187.92:8888/rtp/239.49.8.31:8000$江苏电信
CCTV16,http://122.234.155.78:55555/rtp/233.50.201.192:5140$浙江电信
CCTV16,http://113.25.107.189:10000/rtp/239.1.1.122:8122$山西电信
CCTV17,http://61.159.134.134:18000/rtp/238.255.2.137:5999$贵州电信
CCTV17,http://121.56.186.21:4022/rtp/239.29.1.145:5000$内蒙古电信
CCTV17,http://113.120.108.164:4000/rtp/239.21.1.186:5002$山东电信
CCTV17,http://123.155.19.237:8888/rtp/233.50.200.113:5140$浙江电信
CCTV17,http://116.233.63.135:5555/udp/239.45.3.251:5140$上海市电信
CCTV17,http://116.233.63.135:5555/udp/239.45.3.52:5140$上海市电信
CCTV17,http://117.88.187.92:8888/rtp/239.49.8.52:9810$江苏电信
CCTV17,http://112.254.55.106:22222/udp/239.253.254.168:8000$山东联通
CCTV17,http://122.234.155.78:55555/rtp/233.50.200.113:5140$浙江电信
CCTV17,http://113.25.107.189:10000/rtp/239.1.1.23:8023$山西电信
CCTV4K,http://123.155.19.237:8888/rtp/233.50.201.226:5140$浙江电信
CCTV4K,http://116.233.63.135:5555/udp/233.18.204.188:5140$上海市电信
CCTV4K,http://117.88.187.92:8888/rtp/239.49.0.82:8000$江苏电信
